# f (Hz), Re{G(jw)}, Im{G(jw)}
73.60000000,0.00051778,-0.01769036
73.70000000,0.00068704,-0.01753815
73.80000000,0.00055381,-0.01754615
73.90000000,0.00061638,-0.01754107
74.00000000,0.00069602,-0.01760736
74.10000000,0.00082617,-0.01743863
74.20000000,0.00075105,-0.01739037
74.30000000,0.00084311,-0.01735186
74.40000000,0.00088297,-0.01734515
74.50000000,0.00092873,-0.01734269
74.60000000,0.00098681,-0.01742559
74.70000000,0.00098394,-0.01734071
74.80000000,0.00097405,-0.01748224
74.90000000,0.00098079,-0.01740721
75.00000000,0.00092442,-0.01751841
75.10000000,0.00090024,-0.01749034
75.20000000,0.00085737,-0.01760528
75.30000000,0.00063356,-0.01756416
75.40000000,0.00067706,-0.01753006
75.50000000,0.00064197,-0.01740816
75.60000000,0.00069907,-0.01741642
75.70000000,0.00058362,-0.01725077
75.80000000,0.00063596,-0.01728827
75.90000000,0.00047969,-0.01724821
76.00000000,0.00062618,-0.01709759
76.10000000,0.00057644,-0.01710047
76.20000000,0.00047382,-0.01706001
76.30000000,0.00059925,-0.01680395
76.40000000,0.00070018,-0.01685674
76.50000000,0.00065603,-0.01682648
76.60000000,0.00080217,-0.01674074
76.70000000,0.00079943,-0.01676491
76.80000000,0.00083911,-0.01673967
76.90000000,0.00082538,-0.01673541
77.00000000,0.00094859,-0.01675253
77.10000000,0.00086827,-0.01677695
77.20000000,0.00082889,-0.01691165
77.30000000,0.00094506,-0.01680560
77.40000000,0.00074669,-0.01689293
77.50000000,0.00095250,-0.01672345
77.60000000,0.00078851,-0.01680256
77.70000000,0.00079514,-0.01712449
77.80000000,0.00090847,-0.01684916
77.90000000,0.00071381,-0.01691476
78.00000000,0.00085625,-0.01684430
78.10000000,0.00061785,-0.01695136
78.20000000,0.00051830,-0.01685918
78.30000000,0.00050395,-0.01669092
78.40000000,0.00042384,-0.01670922
78.50000000,0.00051094,-0.01657827
78.60000000,0.00042886,-0.01656134
78.70000000,0.00059889,-0.01646096
78.80000000,0.00049442,-0.01635544
78.90000000,0.00052092,-0.01637262
79.00000000,0.00052483,-0.01641493
79.10000000,0.00035580,-0.01627944
79.20000000,0.00054927,-0.01618361
79.30000000,0.00063169,-0.01612333
79.40000000,0.00063967,-0.01614742
79.50000000,0.00064313,-0.01614975
79.60000000,0.00069969,-0.01604005
79.70000000,0.00095317,-0.01626733
79.80000000,0.00085533,-0.01614407
79.90000000,0.00067048,-0.01612944
80.00000000,0.00084431,-0.01615507
80.10000000,0.00076080,-0.01631804
80.20000000,0.00073222,-0.01625749
80.30000000,0.00100169,-0.01631383
80.40000000,0.00087443,-0.01627311
80.50000000,0.00087480,-0.01621668
80.60000000,0.00083773,-0.01629713
80.70000000,0.00050772,-0.01619545
80.80000000,0.00067256,-0.01617973
80.90000000,0.00065510,-0.01632003
81.00000000,0.00066964,-0.01614190
81.10000000,0.00062061,-0.01621221
81.20000000,0.00044240,-0.01616919
81.30000000,0.00062181,-0.01626991
81.40000000,0.00026399,-0.01599214
81.50000000,0.00048006,-0.01607488
81.60000000,0.00027629,-0.01588371
81.70000000,0.00038064,-0.01598552
81.80000000,0.00038609,-0.01573628
81.90000000,0.00036696,-0.01584033
82.00000000,0.00050890,-0.01567096
82.10000000,0.00057351,-0.01568511
82.20000000,0.00047157,-0.01558509
82.30000000,0.00050485,-0.01563581
82.40000000,0.00058070,-0.01571771
82.50000000,0.00059194,-0.01553615
82.60000000,0.00075024,-0.01555724
82.70000000,0.00067076,-0.01551701
82.80000000,0.00051856,-0.01546272
82.90000000,0.00071551,-0.01552410
83.00000000,0.00058957,-0.01547893
83.10000000,0.00093849,-0.01557526
83.20000000,0.00075235,-0.01538802
83.30000000,0.00074095,-0.01543875
83.40000000,0.00081966,-0.01541927
83.50000000,0.00088847,-0.01552461
83.60000000,0.00083275,-0.01540628
83.70000000,0.00086820,-0.01544891
83.80000000,0.00088883,-0.01550814
83.90000000,0.00078525,-0.01549075
84.00000000,0.00071022,-0.01538459
84.10000000,0.00090443,-0.01558943
84.20000000,0.00073853,-0.01574052
84.30000000,0.00069363,-0.01560141
84.40000000,0.00050913,-0.01552025
84.50000000,0.00044196,-0.01565828
84.60000000,0.00042297,-0.01547778
84.70000000,0.00031955,-0.01549681
84.80000000,0.00038536,-0.01563385
84.90000000,0.00034177,-0.01557026
85.00000000,0.00039650,-0.01538065
85.10000000,0.00045019,-0.01537044
85.20000000,0.00045516,-0.01513340
85.30000000,0.00045430,-0.01523367
85.40000000,0.00046066,-0.01548733
85.50000000,0.00014863,-0.01511616
85.60000000,0.00022213,-0.01504873
85.70000000,0.00036698,-0.01515494
85.80000000,0.00034592,-0.01519580
85.90000000,0.00045764,-0.01491514
86.00000000,0.00045645,-0.01508718
86.10000000,0.00032962,-0.01498086
86.20000000,0.00040743,-0.01480919
86.30000000,0.00030419,-0.01465550
86.40000000,0.00050709,-0.01470727
86.50000000,0.00048570,-0.01486405
86.60000000,0.00037638,-0.01476435
86.70000000,0.00042206,-0.01478303
86.80000000,0.00067436,-0.01477421
86.90000000,0.00056158,-0.01473044
87.00000000,0.00059037,-0.01466746
87.10000000,0.00065489,-0.01466395
87.20000000,0.00072285,-0.01468156
87.30000000,0.00086684,-0.01464171
87.40000000,0.00069744,-0.01449817
87.50000000,0.00066803,-0.01477513
87.60000000,0.00066161,-0.01464927
87.70000000,0.00071787,-0.01458865
87.80000000,0.00054492,-0.01444393
87.90000000,0.00080456,-0.01472980
88.00000000,0.00053534,-0.01451823
88.10000000,0.00087994,-0.01463173
88.20000000,0.00068969,-0.01466602
88.30000000,0.00085007,-0.01450553
88.40000000,0.00047199,-0.01451219
88.50000000,0.00061233,-0.01484525
88.60000000,0.00076079,-0.01467209
88.70000000,0.00072601,-0.01473005
88.80000000,0.00066768,-0.01468369
88.90000000,0.00102589,-0.01482301
89.00000000,0.00059299,-0.01490827
89.10000000,0.00074420,-0.01463100
89.20000000,0.00078380,-0.01455458
89.30000000,0.00063970,-0.01452831
89.40000000,0.00059817,-0.01452087
89.50000000,0.00074123,-0.01454146
89.60000000,0.00035298,-0.01464991
89.70000000,0.00042424,-0.01482770
89.80000000,0.00040844,-0.01466478
89.90000000,0.00031825,-0.01446382
90.00000000,0.00035344,-0.01470968
90.10000000,0.00053002,-0.01464078
90.20000000,0.00038460,-0.01458061
90.30000000,0.00043183,-0.01422388
90.40000000,0.00058037,-0.01442516
90.50000000,0.00028301,-0.01442982
90.60000000,0.00046745,-0.01443276
90.70000000,0.00033778,-0.01404103
90.80000000,0.00047807,-0.01430456
90.90000000,0.00033336,-0.01427751
91.00000000,0.00020321,-0.01423589
91.10000000,0.00032670,-0.01423788
91.20000000,0.00027821,-0.01416356
91.30000000,0.00030871,-0.01418504
91.40000000,0.00012368,-0.01417382
91.50000000,0.00024827,-0.01417862
91.60000000,0.00035757,-0.01399658
91.70000000,0.00036921,-0.01406149
91.80000000,0.00030575,-0.01388208
91.90000000,0.00025778,-0.01381627
92.00000000,0.00051895,-0.01375560
92.10000000,0.00035861,-0.01370670
92.20000000,0.00031053,-0.01379177
92.30000000,0.00024808,-0.01367649
92.40000000,0.00041823,-0.01387357
92.50000000,0.00047421,-0.01376876
92.60000000,0.00050793,-0.01355404
92.70000000,0.00049187,-0.01361766
92.80000000,0.00044714,-0.01387519
92.90000000,0.00037665,-0.01360958
93.00000000,0.00026584,-0.01378638
93.10000000,0.00052145,-0.01348428
93.20000000,0.00054752,-0.01389685
93.30000000,0.00051997,-0.01367252
93.40000000,0.00027150,-0.01355796
93.50000000,0.00060582,-0.01347486
93.60000000,0.00055046,-0.01365365
93.70000000,0.00063199,-0.01352194
93.80000000,0.00055216,-0.01352863
93.90000000,0.00050645,-0.01367299
94.00000000,0.00044095,-0.01351818
94.10000000,0.00052481,-0.01361785
94.20000000,0.00048884,-0.01361674
94.30000000,0.00059783,-0.01345287
94.40000000,0.00052826,-0.01332621
94.50000000,0.00052487,-0.01343908
94.60000000,0.00034384,-0.01324711
94.70000000,0.00059090,-0.01350001
94.80000000,0.00075378,-0.01355024
94.90000000,0.00059832,-0.01340846
95.00000000,0.00052878,-0.01337241
95.10000000,0.00055127,-0.01320612
95.20000000,0.00047840,-0.01331591
95.30000000,0.00065189,-0.01337780
95.40000000,0.00064874,-0.01342272
95.50000000,0.00063353,-0.01349533
95.60000000,0.00064051,-0.01340907
95.70000000,0.00060410,-0.01330110
95.80000000,0.00064859,-0.01324021
95.90000000,0.00071159,-0.01332264
96.00000000,0.00068001,-0.01333500
96.10000000,0.00047429,-0.01330465
96.20000000,0.00077572,-0.01309959
96.30000000,0.00059943,-0.01325020
96.40000000,0.00085737,-0.01349233
96.50000000,0.00061992,-0.01362473
96.60000000,0.00060122,-0.01346385
96.70000000,0.00055484,-0.01357889
96.80000000,0.00036799,-0.01301361
96.90000000,0.00110105,-0.01334482
97.00000000,0.00066389,-0.01328649
97.10000000,0.00080580,-0.01296175
97.20000000,0.00062768,-0.01328779
97.30000000,0.00038730,-0.01321539
97.40000000,0.00049321,-0.01323616
97.50000000,0.00133461,-0.01322995
97.60000000,0.00051326,-0.01334204
97.70000000,0.00046106,-0.01320103
97.80000000,0.00046226,-0.01307360
97.90000000,0.00092322,-0.01320408
98.00000000,0.00059314,-0.01267906
98.10000000,0.00072847,-0.01292761
98.20000000,0.00091552,-0.01298570
98.30000000,0.00028257,-0.01277666
98.40000000,0.00092470,-0.01355578
98.50000000,0.00101738,-0.01326834
98.60000000,0.00052206,-0.01353789
98.70000000,0.00043002,-0.01326877
98.80000000,0.00073123,-0.01313124
98.90000000,-0.00003692,-0.01291556
99.00000000,0.00054053,-0.01291043
99.10000000,0.00081581,-0.01287266
99.20000000,0.00111144,-0.01292870
99.30000000,0.00048962,-0.01309655
99.40000000,0.00057758,-0.01323653
99.50000000,0.00123792,-0.01295540
99.60000000,0.00086460,-0.01346590
99.70000000,0.00084720,-0.01295908
99.80000000,0.00078136,-0.01304315
99.90000000,0.00139233,-0.01281295
