# t (s), y, u
0.00000000,-0.00148724,0.80000000
0.00050000,0.00549052,0.79999996
0.00100000,0.01925056,0.79999984
0.00150000,0.00701285,0.79999964
0.00200000,0.01735315,0.79999937
0.00250000,0.06469266,0.79999901
0.00300000,0.02202128,0.79999858
0.00350000,0.01602668,0.79999806
0.00400000,0.07791875,0.79999747
0.00450000,0.06439959,0.79999679
0.00500000,0.03529248,0.79999604
0.00550000,0.07553179,0.79999520
0.00600000,0.06703049,0.79999429
0.00650000,0.05733603,0.79999330
0.00700000,0.11019799,0.79999222
0.00750000,0.07600445,0.79999107
0.00800000,0.09658937,0.79998984
0.00850000,0.07633698,0.79998852
0.00900000,0.08722530,0.79998713
0.00950000,0.13387336,0.79998565
0.01000000,0.09760992,0.79998410
0.01050000,0.09645128,0.79998246
0.01100000,0.12475660,0.79998075
0.01150000,0.11360272,0.79997895
0.01200000,0.10148050,0.79997707
0.01250000,0.14236493,0.79997511
0.01300000,0.13324483,0.79997307
0.01350000,0.10674728,0.79997095
0.01400000,0.12734999,0.79996875
0.01450000,0.14003972,0.79996646
0.01500000,0.14460393,0.79996410
0.01550000,0.11605925,0.79996165
0.01600000,0.13672836,0.79995912
0.01650000,0.16364469,0.79995652
0.01700000,0.12611098,0.79995382
0.01750000,0.11630180,0.79995105
0.01800000,0.14867043,0.79994820
0.01850000,0.16922285,0.79994526
0.01900000,0.12689915,0.79994224
0.01950000,0.12449081,0.79993914
0.02000000,0.14365273,0.79993596
0.02050000,0.15314945,0.79993269
0.02100000,0.14143852,0.79992934
0.02150000,0.11282797,0.79992591
0.02200000,0.15630431,0.79992240
0.02250000,0.14891167,0.79991880
0.02300000,0.11171539,0.79991513
0.02350000,0.14490461,0.79991136
0.02400000,0.13665215,0.79990752
0.02450000,0.11471453,0.79990359
0.02500000,0.14633025,0.79989958
0.02550000,0.12482979,0.79989549
0.02600000,0.10840645,0.79989132
0.02650000,0.12511886,0.79988706
0.02700000,0.14002628,0.79988271
0.02750000,0.09043834,0.79987829
0.02800000,0.10563639,0.79987378
0.02850000,0.12992389,0.79986918
0.02900000,0.11211067,0.79986451
0.02950000,0.09653703,0.79985975
0.03000000,0.08326817,0.79985490
0.03050000,0.11009662,0.79984997
0.03100000,0.10586008,0.79984496
0.03150000,0.06785056,0.79983986
0.03200000,0.09030697,0.79983468
0.03250000,0.08803833,0.79982942
0.03300000,0.07348423,0.79982407
0.03350000,0.07260030,0.79981863
0.03400000,0.08179940,0.79981311
0.03450000,0.04170324,0.79980751
0.03500000,0.07169340,0.79980182
0.03550000,0.05639437,0.79979605
0.03600000,0.04879570,0.79979019
0.03650000,0.06751042,0.79978425
0.03700000,0.03593776,0.79977822
0.03750000,0.02130207,0.79977210
0.03800000,0.04192281,0.79976591
0.03850000,0.03828369,0.79975962
0.03900000,0.03492755,0.79975325
0.03950000,0.01466774,0.79974680
0.04000000,0.00267056,0.79974026
0.04050000,0.02156995,0.79973363
0.04100000,0.01761359,0.79972692
0.04150000,0.00180230,0.79972012
0.04200000,-0.00344593,0.79971324
0.04250000,-0.00167211,0.79970627
0.04300000,-0.01326247,0.79969921
0.04350000,-0.00065151,0.79969207
0.04400000,-0.01772816,0.79968484
0.04450000,-0.02676773,0.79967753
0.04500000,-0.01964762,0.79967012
0.04550000,-0.03683165,0.79966264
0.04600000,-0.02615203,0.79965506
0.04650000,-0.01885971,0.79964740
0.04700000,-0.06376234,0.79963965
0.04750000,-0.03305930,0.79963182
0.04800000,-0.03181993,0.79962390
0.04850000,-0.06749639,0.79961589
0.04900000,-0.06334706,0.79960779
0.04950000,-0.02014392,0.79959961
0.05000000,-0.07233354,0.79959134
0.05050000,-0.08257280,0.79958298
0.05100000,-0.03271937,0.79957453
0.05150000,-0.08584474,0.79956600
0.05200000,-0.06911551,0.79955738
0.05250000,-0.05957278,0.79954867
0.05300000,-0.06830110,0.79953987
0.05350000,-0.09565537,0.79953099
0.05400000,-0.09071527,0.79952201
0.05450000,-0.05227219,0.79951295
0.05500000,-0.07622427,0.79950380
0.05550000,-0.09604279,0.79949457
0.05600000,-0.10203841,0.79948524
0.05650000,-0.07689425,0.79947583
0.05700000,-0.04914721,0.79946632
0.05750000,-0.13991035,0.79945673
0.05800000,-0.08644571,0.79944705
0.05850000,-0.04562475,0.79943728
0.05900000,-0.11276771,0.79942743
0.05950000,-0.11116591,0.79941748
0.06000000,-0.09385291,0.79940744
0.06050000,-0.06264233,0.79939732
0.06100000,-0.08654101,0.79938710
0.06150000,-0.12790135,0.79937680
0.06200000,-0.09872305,0.79936640
0.06250000,-0.05203302,0.79935592
0.06300000,-0.08656308,0.79934535
0.06350000,-0.13398414,0.79933469
0.06400000,-0.09070902,0.79932393
0.06450000,-0.04383533,0.79931309
0.06500000,-0.11703688,0.79930216
0.06550000,-0.09248240,0.79929114
0.06600000,-0.08803361,0.79928002
0.06650000,-0.06686619,0.79926882
0.06700000,-0.10161988,0.79925753
0.06750000,-0.08606868,0.79924615
0.06800000,-0.06738393,0.79923467
0.06850000,-0.08475758,0.79922311
0.06900000,-0.07134735,0.79921145
0.06950000,-0.08535867,0.79919970
0.07000000,-0.07758111,0.79918787
0.07050000,-0.05116962,0.79917594
0.07100000,-0.10583608,0.79916392
0.07150000,-0.05876623,0.79915181
0.07200000,-0.03042808,0.79913961
0.07250000,-0.10183872,0.79912731
0.07300000,-0.05549359,0.79911493
0.07350000,-0.03581825,0.79910245
0.07400000,-0.08556516,0.79908989
0.07450000,-0.03951371,0.79907723
0.07500000,-0.03830036,0.79906448
